Sample	Patient	platform	nmut	nSNV	nCTGA	mutload	HMstatus
GLSS-SN-0010-TP	GLSS-SN-0010	WGS	6938	6268	2712	2.31266666666667	NHM
GLSS-SN-0010-R1	GLSS-SN-0010	WGS	10191	8725	3226	3.397	NHM
GLSS-SN-0013-TP	GLSS-SN-0013	WGS	5734	5133	2808	1.91133333333333	NHM
GLSS-SN-0013-R2	GLSS-SN-0013	WGS	1837	1586	864	0.612333333333333	NHM
GLSS-SN-0015-TP	GLSS-SN-0015	WGS	8903	8126	3797	2.96766666666667	NHM
GLSS-SN-0015-R2	GLSS-SN-0015	WGS	10614	9175	4049	3.538	NHM
GLSS-SN-0016-TP	GLSS-SN-0016	WGS	8685	7883	3964	2.895	NHM
GLSS-SN-0016-R1	GLSS-SN-0016	WGS	8314	7806	2459	2.77133333333333	NHM
GLSS-SN-0017-TP	GLSS-SN-0017	WGS	2856	2327	828	0.952	NHM
GLSS-SN-0017-R1	GLSS-SN-0017	WGS	4811	3773	1547	1.60366666666667	NHM
